user_id,created_at,screen_name,status_id,hashtags,text,Sentiment,source,country,location,favorite_count,country_code,retweet_count,geo_coords,coords_coords,bbox_coords,followers_count,lang,retweet_status_id,retweet_user_id,testdata.retweet_status_id
,6/28/2020 21:24,eat_oumph,,vegan,"Sunday vegan dinnertea 
 Sticky Smokehouse rib style fillets with potatoes veggies hummus and dressing made out of Planti Green style gurt UFB
Mostly done byI chopped the cucumber UF
veganhome veganlove plantbased mitvegaanitsy vegaani",3,Twitter Web App,,Sweden,0,,0,NA NA,NA NA,NA NA NA NA NA NA NA NA,2439,en,,,
,6/27/2020 20:34,eat_oumph,,,This dinner tookmins Udon noodles with edamame winter green veg mix frompulled OumphAll items except noodles from the freezer ready in minutes perfect when youve had a long dayneed to eat quickly UFFUFFBUFA vegan veganfood veganfoodshare,3,Twitter Web App,,Sweden,0,,7,NA NA,NA NA,NA NA NA NA NA NA NA NA,2439,en,,,
,6/28/2020 21:24,Gourmet_Candle,,coldprocesssoap vegan ecofriendly soapshare lovefornatural naturalsoap soaps soapmaking handmade vegansoap barsoap,"Vroom Vroom UFCEHave you stocked up on these awesome soaps for kids

U
U
U
U
U
coldprocesssoap vegan ecofriendly soapshare lovefornatural naturalsoap soaps soapmaking handmade vegansoap barsoap",1,Instagram,United States,"Philadelphia, PA",0,US,0,39.9527 -75.1651,-75.1651 39.9527,-75.280284 -74.955712 -74.955712 -75.280284 39.871811 39.871811 40.13792 40.13792,1587,en,,,
,6/28/2020 21:24,ellrhys,,vegan,Eating meat is the most disgusting thing I can think of Its like biting into your grandmotherMorrissey vegan,2,Twitter for Android,, UK,0,,4,NA NA,NA NA,NA NA NA NA NA NA NA NA,1251,en,,,
,6/27/2020 23:47,ellrhys,,,How quickly would he champion animals rights if he got to live the life he advocated for animals Good riddance to SteveKing of Iowa vegan animalrights q MAGA TCOT QANON KAG,3,Twitter for Android,, UK,0,,3,NA NA,NA NA,NA NA NA NA NA NA NA NA,1251,en,,,
,6/28/2020 21:23,itseasy2bVegan,,vegan,"vegan UDEUDFDUDFUDFBUDEEUDFUDFUDEAUDFUDFUDF UDDAUDEEUDFFUDFUDFUDF UDEUDEEUDUDFUDFCUDFUDF UDUDFUDUDF UDDAUDEEUDFFUDFUDFUDF UDDUDFFUDFUDEEUDF

Ravioli with rocket raw garlic UF olivesfinely grated Prosociano wedge

Drizzled with extra virgin olive oilblack pepper

Seeded baguette Flora butterycrushed garlic",1,Twitter for iPad,,"UK base, global reach.",0,,3,NA NA,NA NA,NA NA NA NA NA NA NA NA,13079,en,,,
,6/28/2020 14:21,itseasy2bVegan,,Lockdown Manchester,My last meal before Lockdown wasManchester reopening on th July it was scrumptious heres my reviewIm looking forward to a return visit Vegan Itseasybvegan,3,Twitter for iPad,,"UK base, global reach.",0,,7,NA NA,NA NA,NA NA NA NA NA NA NA NA,13079,en,,,
,6/28/2020 13:07,itseasy2bVegan,,,"UDEAUDFUDFCUDFUDFUDFUDFFUDEEUDFUDFB UDDUDFUDFBUDFBUDEEUDFAUDFCUDFBUDDAUDFUDFBUDFUDFUDFF UDEUDEEUDFBUDFUDEEUDFUDFUD UFE UDUDFUDUDF UDDUDFUDUDFUDEFUDFUDFFUDFFUD UDECUDFCUDFUDFUDUDFFUD

This morning I picked loads of cherries UF to go with my breakfast

Filter coffee U made with Alpro Soya Barista milk

dairyfree plantbased vegan",1,Twitter for iPad,,"UK base, global reach.",0,,4,NA NA,NA NA,NA NA NA NA NA NA NA NA,13079,en,,,
,6/28/2020 5:59,itseasy2bVegan,,,"UDEUDFUDFBUDFUDFUDFF UDDFUDEEUDFAUDEFUDFUDFUDUD UDDEUDFCUDFFUDFAUDEE UDUDFUDUDF UDEAUDFUDFCUDFUDFUDFUDFFUDEEUDFUDFB UDEUDUDFFUDFAUDFUDFFUDFUDF UDEUDFUDFUDF UDEUDEEUDEEUDF UDDUDFUDFCUDFC UDDAUDEEUDFFUDFUDFUDFUDDUDFCUDFFiaUDFBdUDFUDFF UDEUDEEUDEEUDFBUDEUDFBUDFUDFCUDFB UDDUDFUDEEUDFUDFUD

Trying out tender lambless piecesTesco yes you can buy Vegan lamb now",1,Twitter for iPad,,"UK base, global reach.",0,,19,NA NA,NA NA,NA NA NA NA NA NA NA NA,13079,en,,,
,6/28/2020 21:23,SamCCFC1987,,,"Ive been focusing on getting in the best shape of my career since November trainingdays a week and adopting a strict vegan diet I feel fitter stronger and leaner both mentally and physically Hungry for the next opportunityUFFUFFF 

Motivation football sport EFL hardwork",3,Twitter for Android,,,0,,6,NA NA,NA NA,NA NA NA NA NA NA NA NA,169,en,,,
,6/28/2020 21:23,Shion2_,,,"Examples of animal tests include dripping chemicals into their eyes drilling holes into their skullseven if a product kills animals it can still be marketed to consumers
 
Stop Supporting Animal Cruelty
GoVeganUFUFE
 
AnimalRights GoVegan EndSpeciesism Vegan RosesLaw",2,Twitter for Android,,,0,,197,NA NA,NA NA,NA NA NA NA NA NA NA NA,267,en,,,
,6/28/2020 21:23,annamaietta8,,,"Say hello to Elli the sheep who can be seen here evading authorities in a New York park

Elli escaped slaughter and never looked backnow she lives safe at Farm Sanctuary

Love this story Be vegan and take action for AnimalRights

Video",1,Twitter for iPhone,,,0,,23,NA NA,NA NA,NA NA NA NA NA NA NA NA,96,en,,,
,6/27/2020 16:37,annamaietta8,,vegan coronavirus,Meat sales are down Are you buying vegan meat during the coronavirus pandemic,2,Twitter for iPhone,,,0,,38,NA NA,NA NA,NA NA NA NA NA NA NA NA,96,en,,,
,6/28/2020 21:21,annamaietta8,,Boris StayHome vegan,"The strongest dont survive the smartest doUFUF

Be smartUFUF

Assume Boris is lyingUF

UFFStayHome

Go veganUF

SaturdayThoughts",2,Twitter for iPhone,,,0,,132,NA NA,NA NA,NA NA NA NA NA NA NA NA,96,en,,,
,6/27/2020 16:37,annamaietta8,,vegan,"Tofu is not and never will be boring

vegan",2,Twitter for iPhone,,,0,,442,NA NA,NA NA,NA NA NA NA NA NA NA NA,96,en,,,
,6/27/2020 16:37,annamaietta8,,vegan govegan SaturdayMorning,"So very adorable Friends not food UF 

vegan govegan SaturdayMorning",2,Twitter for iPhone,,,0,,288,NA NA,NA NA,NA NA NA NA NA NA NA NA,96,en,,,
,6/27/2020 7:00,annamaietta8,,SanBernardino,"Today PETA was at the grand opening of Caf Organix in SanBernardino Thevegan caf is coowned by fourtime NBA champion vegan and TV host 

Find everything from coffee and cinnamon rolls to tacos Beyond Burgers and more",1,Twitter for iPhone,,,0,,47,NA NA,NA NA,NA NA NA NA NA NA NA NA,96,en,,,
,6/28/2020 5:24,annamaietta8,,,"Look at these beautiful cows rescued from the dairy industry enjoying their freedomUFDUFUFUFE 

Joy is not only human for sentient beings life is very preciousUFFUFUFC
Vegan UFUFA Antiespecismo",1,Twitter for iPhone,,,0,,321,NA NA,NA NA,NA NA NA NA NA NA NA NA,96,en,,,
,6/28/2020 21:23,cg123cg123,,heatwave giveaway awardwinning organic vegan crueltyfree,"Are you heatwave ready UUFEF
We are going to giveaway this awardwinning organic vegan and crueltyfree mineral SPF Sun MilkAfter Sun Cream bundle to one lucky winner UBUFEF
To enter RTFOLLOWby midnight on June th
competition win FreebieFriday organii",3,Twitter Web App,,Cheshire,0,,596,NA NA,NA NA,NA NA NA NA NA NA NA NA,624,en,,,
,6/28/2020 19:41,cg123cg123,,,"UF UK GIVEAWAY REWIND UF

FollowRTComment 
Tag friends UF

Ends th June UF

Winner chosen at random will win
UUFEFPop Beauty PR box UFF 

Giveaway win WinItWednesday CrueltyFree vegan Competition FreebieFriday BeautyBlogger bloggerswanted GiveawayAlert UAUFEF",1,Twitter Web App,,Cheshire,0,,427,NA NA,NA NA,NA NA NA NA NA NA NA NA,624,en,,,
,6/28/2020 8:53,DonaldNdoro,,Covid19 vaccine drug profit,Covid vaccine is yet to launch drug gangs may be busy in calculating profit before its launch but the fact is that the all medical research organizations have admitted their predominant testing is flawedUFUDUFEB vegansudesh vegan dairyiscruel startup veganmilk amul,2,Donald Ndoro 2,,"London, England",0,,2,NA NA,NA NA,NA NA NA NA NA NA NA NA,13178,en,,,
,6/28/2020 21:22,DonaldNdoro,,soundtrack,"HeardUFit Just add a soundtrack


StandFEEL the BETTER future NOW 

UFAthankfulliving in the times offriendsamm movie socent startup vegan soundtrackedu news",1,Donald Ndoro 2,,"London, England",0,,6,NA NA,NA NA,NA NA NA NA NA NA NA NA,13178,en,,,
,6/28/2020 9:00,MoriyaIeda,,,"Animal abusers can do as they wish in the industry just like this one slamming a sick piglet against the floor because its LEGAL
would you euthanise your dog like this
Open your eyes this is approved by high welfare groups see the truth 
animalcruelty animalrightsvegan",3,Twitter Web App,,Japan,0,,689,NA NA,NA NA,NA NA NA NA NA NA NA NA,356,en,,,
,6/28/2020 21:22,MoriyaIeda,,vegan,We stopped eating meat many years ago During the course of a Sunday lunch we happenedLinda McCartney vegan,3,Twitter Web App,,Japan,0,,4,NA NA,NA NA,NA NA NA NA NA NA NA NA,356,en,,,
,6/27/2020 13:52,MoriyaIeda,,vegan GoVegan animallovers,"Its better to walk alone than with a crowd going in the wrong direction 

vegan GoVegan animallovers SaturdayThoughts SaturdayVibes",1,Twitter Web App,,Japan,0,,154,NA NA,NA NA,NA NA NA NA NA NA NA NA,356,en,,,
,6/27/2020 14:00,MoriyaIeda,,,"The most difficult part of the lemon drizzle cake recipe is having to wait for it to soak up the drizzle before you can eat it

vegansuk veganuk veganbaking vegan vegansofig vegansofinstagram veganfoodshare veganfoodporn",2,Twitter Web App,,Japan,0,,3,NA NA,NA NA,NA NA NA NA NA NA NA NA,356,en,,,
,6/27/2020 13:42,MoriyaIeda,,vegan,Every life mattersAnon vegan,3,Twitter Web App,,Japan,0,,7,NA NA,NA NA,NA NA NA NA NA NA NA NA,356,en,,,
,6/28/2020 4:04,MoriyaIeda,,vegan,Who is your favourite vegan,1,Twitter Web App,,Japan,0,,2,NA NA,NA NA,NA NA NA NA NA NA NA NA,356,en,,,
,6/27/2020 13:44,MoriyaIeda,,,Its arrogant to think we are the only animals that grieve for the loss of family and friends Animals express happiness and sadness when reacting to situations these two penguins are mourning the loss of their babyAnimals feel and want to be free of us tormenting themvegan,2,Twitter Web App,,Japan,0,,1748,NA NA,NA NA,NA NA NA NA NA NA NA NA,356,en,,,
,6/28/2020 6:08,MoriyaIeda,,Vegan,Deeply sadI agree with all you say Vegan,2,Twitter Web App,,Japan,0,,722,NA NA,NA NA,NA NA NA NA NA NA NA NA,356,en,,,
,6/28/2020 14:04,disabilitywarks,,vegan milkyourmoments,"Go vegan to stop paying for the abuse and murder of innocent animals

milkyourmoments",2,Twitter Web App,,,0,,23,NA NA,NA NA,NA NA NA NA NA NA NA NA,168,en,,,
,6/28/2020 15:50,disabilitywarks,,,"Thai Peanut Tofu Pizza 
Peanut sauce w chopped peanuts
Brocco slaw
Peanut sesame tofu
Roasted Red Pepper
Red Onion
Chao cheeze
Folded w zero regrets
Vegan UF",2,Twitter Web App,,,0,,0,NA NA,NA NA,NA NA NA NA NA NA NA NA,168,en,,,
,6/28/2020 21:22,di_dancin,,Vegan,Disgusted that she thinks she is a VeganI will not be associated with people who behave appallingly,2,Twitter for Android,,,0,,0,NA NA,NA NA,NA NA NA NA NA NA NA NA,476,en,,,
,6/28/2020 20:46,stschultze,,healthy food kids,"Hey what about integrating healthy foodthe kids tooU this story fromvery much like

UFAUFDUAF

Lets raise the kids equally AND get them KNOWHOW on delicious food that SUPPORTS them in learningedu vegan news",3,Twitter Web App,,"Earth, Berlin",0,,3,NA NA,NA NA,NA NA NA NA NA NA NA NA,3196,en,,,
,6/28/2020 17:30,stschultze,,NelsonMandela equal,"It always seems impossible until its done NelsonMandela 

UFWere all equal The color of your skin is just a reflection Keep supporting each other OneLove Stefan 

The pic By me And a Berlin individual making u thinkphotography quote vegan dog travel news",3,Twitter Web App,,"Earth, Berlin",0,,11,NA NA,NA NA,NA NA NA NA NA NA NA NA,3196,en,,,
,6/28/2020 14:21,stschultze,,vegan,Have you tried s veganburgers,1,Twitter Web App,,"Earth, Berlin",0,,11,NA NA,NA NA,NA NA NA NA NA NA NA NA,3196,en,,,
,6/28/2020 14:27,stschultze,,cool delicious,"Just try a cool plantbased alternativetheyre deliciouswont stuck on your hips I switched last yearsuperhappyfit 

 

happening NOW 

vegan friendsnotfood foodphotography artnews",3,Twitter Web App,,"Earth, Berlin",0,,2,NA NA,NA NA,NA NA NA NA NA NA NA NA,3196,en,,,
,6/27/2020 22:41,stschultze,,cute pollinators insects foodchain insects,"UFAre YOU in 

WE rely on cute pollinatorsother insectsour foodchain Theres MASSIVE decline among insects UFDwide NGOs scientists K of YOU already callchange

JOINUFDUAF 

vegan bees hulbees news rt",1,Twitter Web App,,"Earth, Berlin",0,,2,NA NA,NA NA,NA NA NA NA NA NA NA NA,3196,en,,,
,6/28/2020 12:10,stschultze,,vegan,Have you tried s vegan dairy products,1,Twitter Web App,,"Earth, Berlin",0,,5,NA NA,NA NA,NA NA NA NA NA NA NA NA,3196,en,,,
,6/28/2020 11:28,stschultze,,BEAUTIFUL MOVIE soundtrack,"Heard UFthem BEAUTIFUL cover of s

IF LIFE IS A MOVIE THIS should b in YOUR soundtrack

BE A LIGHTUFABUBUFEF 

Masterpiece byfriendsYahoshBonner blacklifesmatter onelove vegan socent rmx news",1,Twitter Web App,,"Earth, Berlin",0,,6,NA NA,NA NA,NA NA NA NA NA NA NA NA,3196,en,,,
,6/28/2020 11:49,stschultze,,NHS corona,"HeardUFhersupports 
 UK NHS corona frontline workers w 

Try her stunning kissme SixpenceNonTheRicher cover
UFBUFFUFUAF

movie soundtrack vegantech gym workout dj news",1,Twitter Web App,,"Earth, Berlin",0,,6,NA NA,NA NA,NA NA NA NA NA NA NA NA,3196,en,,,
,6/28/2020 11:01,stschultze,,,"Every journey is personal and deserves to be celebrated UFCYessssLizzo could we love you anymore Nah nup na UUFEF UFC

nomeatmay girlcrush Lizzo plantpowered revolutionstartshere improveyourhealth savetheplanet feedtheworld endfactoryfarming vegan",3,Twitter Web App,,"Earth, Berlin",0,,1,NA NA,NA NA,NA NA NA NA NA NA NA NA,3196,en,,,
,6/28/2020 11:30,stschultze,,charity concert,"SeenUFit Katie UF just did a charity concert in favour ofUFAB

 UFBUUFEFUAF 

BEAUTIFUL cover of HERE COMES THE SUN TheBeatlesfabfour soundtrack veganmovie dj news",3,Twitter Web App,,"Earth, Berlin",0,,5,NA NA,NA NA,NA NA NA NA NA NA NA NA,3196,en,,,
,6/28/2020 20:47,stschultze,,BelieveInYourself BIRDS FEATHER UseSomebody KingsOfLeon cover,"SeenUFt Just BelieveInYourself

 add BIRDS OF A FEATHER 
s BRILLIANT UseSomebody KingsOfLeon covermy phoenix painting

UFUAF

art vegan movie soundtrack dj producer news",1,Twitter Web App,,"Earth, Berlin",0,,5,NA NA,NA NA,NA NA NA NA NA NA NA NA,3196,en,,,
,6/28/2020 21:21,Gucci_Rodrigo,,vegan,Heres a little something for my vegan girls Vegan Mozerrella Sticks UF UFUFFDUDUF,2,Twitter for iPhone,,<U+2609> aries<U+263D> libra <U+2191> leo,0,,1,NA NA,NA NA,NA NA NA NA NA NA NA NA,2099,en,,,
,6/28/2020 21:21,petervalcarcel,,,Featured our Black Bean Empanada UFF annaraevBoth stores open today until pm Get some empanadas for the beach UFD empanadas jessyspastries oceansideny westbury peruviangreensauce veganoptions vegan,1,Twitter for iPhone,,"New York, NY",0,,0,NA NA,NA NA,NA NA NA NA NA NA NA NA,3851,en,,,
,6/27/2020 22:55,tamathahunter,,YulinDogMeatFestival dcmt,"The dogs skin that are sadistically tortured in theYulinDogMeatFestival and the dog and cat meat trade dcmt in China is the leather sold in belts jackets gloves bags etc say NO to leather

Dont finance animalcruelty buy vegan products

animalrights dogs",2,Twitter Web App,,Cisco TX ,0,,244,NA NA,NA NA,NA NA NA NA NA NA NA NA,463,en,,,
,6/27/2020 4:57,tamathahunter,,,"Animals deserve love and respect as sentient beings that they are Do not forgetUUFEUFDUFA

It takes nothing away from a human to be kind to an animalJoaquin Phoenix UFDUFE

FridayMotivation Vegan 
FridayThoughts EndSpeciesism",3,Twitter Web App,,Cisco TX ,0,,232,NA NA,NA NA,NA NA NA NA NA NA NA NA,463,en,,,
,6/27/2020 22:31,tamathahunter,,,You have to just love this picture UFAanimalslivesmatter vegan,3,Twitter Web App,,Cisco TX ,0,,136,NA NA,NA NA,NA NA NA NA NA NA NA NA,463,en,,,
,6/28/2020 21:20,WimWasterval,,vegan animalrights,"Ag is built on lies
vegan animalrights",2,Twitter Web App,,,0,,96,NA NA,NA NA,NA NA NA NA NA NA NA NA,874,en,,,
,6/28/2020 21:20,frayandybentos,,,"Gift Ideas For Ros Wine Lovers VeganWhat is the best gift to give a ros wine lover We have selectedgreat gift sets which include awardwinning wines from



wine winelovers vegan aix englishwine",3,Twitter Web App,,,0,,386,NA NA,NA NA,NA NA NA NA NA NA NA NA,295,en,,,
,6/28/2020 21:20,LocalHeroesNE,,,Pie shop openLimited number of Classic Porky Pies availableUFE Last deliveries for a while as we are moving really soon UFAplantpoweredpies vegan newcastle gateshead,1,Twitter for iPhone,,"North East, England",0,,3,NA NA,NA NA,NA NA NA NA NA NA NA NA,461,en,,,
,6/28/2020 21:20,Hinal1111,,YulinDogMeatFestival animalcruelty,"Animals being boiled alive doesnt happen only in YulinDogMeatFestival all meat production is animalcruelty all over the world so therefore it should stop by stopping its demand UFD 

SEE THE TRUTH UFUF

endspeciesism vegan animalrights dogs bacon",2,Twitter for iPhone,,india,0,,152,NA NA,NA NA,NA NA NA NA NA NA NA NA,733,en,,,
,6/28/2020 21:19,FoodsWoodside,,bathbombs selfcare essentialoils vegan,"I didnt end up liking this coloring method but it sure did look cool UF
bathbombs
selfcare
essentialoils
vegan",1,Twitter for iPhone,,,0,,2,NA NA,NA NA,NA NA NA NA NA NA NA NA,61,en,,,
,6/27/2020 9:04,MimiRossiJ,,AnimalRights HumanRights,"We all think AnimalRights are a great idea

We just call them HumanRights so no other animals qualify

The reason we dont give rights to nonhuman animals

Wed have to stop abusing themUF

Go veganUF",2,Twitter for iPhone,,United Kingdom,0,,56,NA NA,NA NA,NA NA NA NA NA NA NA NA,494,en,,,
,6/27/2020 9:57,MimiRossiJ,,,"Sometimes words do the opposite of fail us they eject themselves with revulsion through streaming tearsUFUFUFA

This is obscenecruel
RealityCheck Pay for this sick crap and you are too
Go veganUF",2,Twitter for iPhone,,United Kingdom,0,,59,NA NA,NA NA,NA NA NA NA NA NA NA NA,494,en,,,
,6/27/2020 20:42,MimiRossiJ,,vegan cheese,In celebration of its th anniversary the iconic vegan brand expands its line with a tangy cheese thats perfect for stuffing spanakopitas and crumbling into Greek salads,2,Twitter for iPhone,,United Kingdom,0,,8,NA NA,NA NA,NA NA NA NA NA NA NA NA,494,en,,,
,6/27/2020 9:15,MimiRossiJ,,vegan,How about adding a vegan banana deli meat sandwich to the menu,1,Twitter for iPhone,,United Kingdom,0,,5,NA NA,NA NA,NA NA NA NA NA NA NA NA,494,en,,,
,6/28/2020 21:18,isamustang73,,empathy,"If youre trying to keep the ball up too what youre experiencing is the magical feeling of empathyUF

Being vegan is just feeling that feeling for every animalUF

Be veganUF",1,Twitter for Android,,"Barcelona, EspaÃƒÂ±a",0,,9,NA NA,NA NA,NA NA NA NA NA NA NA NA,1271,en,,,
,6/27/2020 19:51,isamustang73,,EndTheCaptiveAge,"We all now know captivity
We know the mental torture it inflicts
Its time to EndTheCaptiveAge
Its time to share the earth with other earthlings

Covid has taught us so much
We must learn and change
Go veganUF",3,Twitter for Android,,"Barcelona, EspaÃƒÂ±a",0,,213,NA NA,NA NA,NA NA NA NA NA NA NA NA,1271,en,,,
,6/27/2020 18:48,isamustang73,,Animal,"By way of saying thank you to all my followers I hope this brings you a moment of happinessUFUFUF
Animal lovers are clearly capable of more empathy so this should work wellUF
BeKindToAllKindsUFF
Be veganUF",3,Twitter for Android,,"Barcelona, EspaÃƒÂ±a",0,,283,NA NA,NA NA,NA NA NA NA NA NA NA NA,1271,en,,,
,6/28/2020 14:53,isamustang73,,,"Schadenfreude is strangeUFUFF
To laugh at anothers misfortune
Mainly enjoy the suffering and youre a sociopath
Care about the fate of the unfortunate and youre an empath
Have empathy for all animalsUF
Go veganUF",2,Twitter for Android,,"Barcelona, EspaÃƒÂ±a",0,,27,NA NA,NA NA,NA NA NA NA NA NA NA NA,1271,en,,,
,6/28/2020 9:35,PRAEST,,,"Eggs come from an extremely cruel industry and consumption is also bad for human health

There are incredibly high risks for diabetes cancer and heart disease among egg eaters showing us that eggs are not food for humans
 GoVegan cancer plantbased health nutrition Vegan",2,Twitter for Android,,United Kingdom,0,,34,NA NA,NA NA,NA NA NA NA NA NA NA NA,360,en,,,
,6/27/2020 20:37,PRAEST,,Vegan,"Drinking milk for nutrients is like inhaling cigarette smoke for oxygen

End this absurdity

Go dairyfree

Vegan dairyfree",2,Twitter for Android,,United Kingdom,0,,90,NA NA,NA NA,NA NA NA NA NA NA NA NA,360,en,,,
,6/27/2020 16:59,arayah_mariah,,bacon Farm365 Vegan,Two snuggle eyes closed Other lays in great fear a blank stare Do you still want to eat bacon Farm Vegan,2,Twitter for iPad,,"minsk via milan (okay, nj)",0,,213,NA NA,NA NA,NA NA NA NA NA NA NA NA,394,en,,,
,6/28/2020 21:18,arayah_mariah,,VeganAriShow,New VeganAriShow Talking Russian bounties on US soldiers surging coronavirus cases and I address my tweet on toxicity in the vegan movement Tasting vegan feta byAnd of course vegananimal rights news LISTEN Apple Spotify or,1,Twitter for iPhone,,"minsk via milan (okay, nj)",0,,2,NA NA,NA NA,NA NA NA NA NA NA NA NA,394,en,,,
,6/28/2020 21:18,thehippyhen,,Vegan,"Orderproducts from an ethical company with good honest ingredients that dont cost the earth Vegan Biodegradable Organic
Every girl deserves dignity period 
SmashShame
BintiPeriod
ILovePeriods
PeriodCharity
Periods
MenstrualEquity 
DignityPeriod UFC",3,Twitter Web App,,"Isle of Bute, Scotland, UK",0,,5,NA NA,NA NA,NA NA NA NA NA NA NA NA,1707,en,,,
,6/28/2020 14:32,Djane_Aileen,,bacon vegan GoVegan4Regan GoVegan AnimalRights JusticeForRegan justice,"How can people still eat bacon
I dont get it

vegan GoVeganRegan GoVegan AnimalRights JusticeForRegan justice",3,Twitter Web App,,Mother Earth,0,,8,NA NA,NA NA,NA NA NA NA NA NA NA NA,6845,en,,,
